sens_x,sens_y,sens_z,window,supine,prone,side,sitting,unknown
1e-05,-0.00082,-0.0009,829,0.0,0.0,1.0,0.0,0.0
1e-05,-0.00082,-0.0009,829,0.0,0.0,1.0,0.0,0.0
1e-05,-0.00083,-0.0009,829,0.0,0.0,1.0,0.0,0.0
0.0,-0.00084,-0.0009,829,0.0,0.0,1.0,0.0,0.0
0.0,-0.00086,-0.0009,829,0.0,0.0,1.0,0.0,0.0
-0.0,-0.00086,-0.0009,829,0.0,0.0,1.0,0.0,0.0
-0.0,-0.00088,-0.0009,829,0.0,0.0,1.0,0.0,0.0
-1e-05,-0.00089,-0.0009,829,0.0,0.0,1.0,0.0,0.0
-1e-05,-0.0009,-0.0009,829,0.0,0.0,1.0,0.0,0.0
-1e-05,-0.00091,-0.0009,829,0.0,0.0,1.0,0.0,0.0
-2e-05,-0.00092,-0.00089,829,0.0,0.0,1.0,0.0,0.0
-2e-05,-0.00093,-0.00089,829,0.0,0.0,1.0,0.0,0.0
-2e-05,-0.00094,-0.00089,829,0.0,0.0,1.0,0.0,0.0
-3e-05,-0.00095,-0.00089,829,0.0,0.0,1.0,0.0,0.0
-4e-05,-0.00096,-0.00089,829,0.0,0.0,1.0,0.0,0.0
-4e-05,-0.00097,-0.00089,829,0.0,0.0,1.0,0.0,0.0
-4e-05,-0.00098,-0.00088,829,0.0,0.0,1.0,0.0,0.0
-4e-05,-0.00099,-0.00088,829,0.0,0.0,1.0,0.0,0.0
-4e-05,-0.001,-0.00088,829,0.0,0.0,1.0,0.0,0.0
-5e-05,-0.00101,-0.00088,829,0.0,0.0,1.0,0.0,0.0
-6e-05,-0.00102,-0.00088,829,0.0,0.0,1.0,0.0,0.0
-6e-05,-0.00103,-0.00088,829,0.0,0.0,1.0,0.0,0.0
-6e-05,-0.00104,-0.00088,829,0.0,0.0,1.0,0.0,0.0
-7e-05,-0.00106,-0.00088,829,0.0,0.0,1.0,0.0,0.0
-7e-05,-0.00106,-0.00088,829,0.0,0.0,1.0,0.0,0.0
-7e-05,-0.00108,-0.00088,829,0.0,0.0,1.0,0.0,0.0
-4e-05,-0.00107,-0.00086,829,0.0,0.0,1.0,0.0,0.0
-2e-05,-0.00106,-0.00084,829,0.0,0.0,1.0,0.0,0.0
-0.0,-0.00106,-0.00082,829,0.0,0.0,1.0,0.0,0.0
2e-05,-0.00105,-0.00081,829,0.0,0.0,1.0,0.0,0.0
4e-05,-0.00104,-0.00079,829,0.0,0.0,1.0,0.0,0.0
7e-05,-0.00103,-0.00077,829,0.0,0.0,1.0,0.0,0.0
9e-05,-0.00103,-0.00076,829,0.0,0.0,1.0,0.0,0.0
0.00011,-0.00102,-0.00074,829,0.0,0.0,1.0,0.0,0.0
0.00014,-0.00101,-0.00072,829,0.0,0.0,1.0,0.0,0.0
0.00016,-0.00101,-0.0007,829,0.0,0.0,1.0,0.0,0.0
0.00018,-0.001,-0.00068,829,0.0,0.0,1.0,0.0,0.0
0.0002,-0.001,-0.00066,829,0.0,0.0,1.0,0.0,0.0
0.00022,-0.00099,-0.00064,829,0.0,0.0,1.0,0.0,0.0
0.00024,-0.00098,-0.00063,829,0.0,0.0,1.0,0.0,0.0
0.00027,-0.00098,-0.00061,829,0.0,0.0,1.0,0.0,0.0
0.00029,-0.00098,-0.00059,829,0.0,0.0,1.0,0.0,0.0
0.00032,-0.00096,-0.00058,829,0.0,0.0,1.0,0.0,0.0
0.00034,-0.00096,-0.00056,829,0.0,0.0,1.0,0.0,0.0
0.00036,-0.00096,-0.00054,829,0.0,0.0,1.0,0.0,0.0
0.00038,-0.00094,-0.00052,829,0.0,0.0,1.0,0.0,0.0
0.0004,-0.00094,-0.0005,829,0.0,0.0,1.0,0.0,0.0
0.00042,-0.00094,-0.00048,829,0.0,0.0,1.0,0.0,0.0
0.00045,-0.00093,-0.00046,829,0.0,0.0,1.0,0.0,0.0
0.00047,-0.00092,-0.00045,829,0.0,0.0,1.0,0.0,0.0
0.0005,-0.00092,-0.00043,829,0.0,0.0,1.0,0.0,0.0
0.0005,-0.00088,-0.00044,829,0.0,0.0,1.0,0.0,0.0
0.0005,-0.00086,-0.00044,829,0.0,0.0,1.0,0.0,0.0
0.00052,-0.00083,-0.00044,829,0.0,0.0,1.0,0.0,0.0
0.00052,-0.0008,-0.00045,829,0.0,0.0,1.0,0.0,0.0
0.00053,-0.00078,-0.00046,829,0.0,0.0,1.0,0.0,0.0
0.00053,-0.00074,-0.00046,829,0.0,0.0,1.0,0.0,0.0
0.00054,-0.00072,-0.00046,829,0.0,0.0,1.0,0.0,0.0
0.00054,-0.00069,-0.00047,829,0.0,0.0,1.0,0.0,0.0
0.00055,-0.00066,-0.00048,829,0.0,0.0,1.0,0.0,0.0
0.00056,-0.00064,-0.00048,829,0.0,0.0,1.0,0.0,0.0
0.00056,-0.0006,-0.00048,829,0.0,0.0,1.0,0.0,0.0
0.00057,-0.00058,-0.00049,829,0.0,0.0,1.0,0.0,0.0
0.00058,-0.00055,-0.0005,829,0.0,0.0,1.0,0.0,0.0
0.00058,-0.00053,-0.0005,829,0.0,0.0,1.0,0.0,0.0
0.00059,-0.0005,-0.00051,829,0.0,0.0,1.0,0.0,0.0
0.00059,-0.00046,-0.00052,829,0.0,0.0,1.0,0.0,0.0
0.0006,-0.00044,-0.00052,829,0.0,0.0,1.0,0.0,0.0
0.0006,-0.00041,-0.00053,829,0.0,0.0,1.0,0.0,0.0
0.00062,-0.00038,-0.00053,829,0.0,0.0,1.0,0.0,0.0
0.00062,-0.00035,-0.00054,829,0.0,0.0,1.0,0.0,0.0
0.00062,-0.00032,-0.00054,829,0.0,0.0,1.0,0.0,0.0
0.00063,-0.0003,-0.00054,829,0.0,0.0,1.0,0.0,0.0
0.00064,-0.00027,-0.00055,829,0.0,0.0,1.0,0.0,0.0
0.00064,-0.00024,-0.00056,829,0.0,0.0,1.0,0.0,0.0
0.00065,-0.00022,-0.00056,829,0.0,0.0,1.0,0.0,0.0
0.00066,-0.00023,-0.00056,829,0.0,0.0,1.0,0.0,0.0
0.00066,-0.00024,-0.00056,829,0.0,0.0,1.0,0.0,0.0
0.00066,-0.00026,-0.00056,829,0.0,0.0,1.0,0.0,0.0
0.00066,-0.00028,-0.00057,829,0.0,0.0,1.0,0.0,0.0
0.00067,-0.00028,-0.00057,829,0.0,0.0,1.0,0.0,0.0
0.00068,-0.0003,-0.00057,829,0.0,0.0,1.0,0.0,0.0
0.00068,-0.00032,-0.00058,829,0.0,0.0,1.0,0.0,0.0
0.00068,-0.00033,-0.00058,829,0.0,0.0,1.0,0.0,0.0
0.00068,-0.00034,-0.00058,829,0.0,0.0,1.0,0.0,0.0
0.00069,-0.00036,-0.00058,829,0.0,0.0,1.0,0.0,0.0
0.00069,-0.00038,-0.00058,829,0.0,0.0,1.0,0.0,0.0
0.0007,-0.00039,-0.00058,829,0.0,0.0,1.0,0.0,0.0
0.0007,-0.0004,-0.00058,829,0.0,0.0,1.0,0.0,0.0
0.0007,-0.00042,-0.00059,829,0.0,0.0,1.0,0.0,0.0
0.0007,-0.00043,-0.00059,829,0.0,0.0,1.0,0.0,0.0
0.00071,-0.00044,-0.00059,829,0.0,0.0,1.0,0.0,0.0
0.00071,-0.00046,-0.00059,829,0.0,0.0,1.0,0.0,0.0
