sens_x,sens_y,sens_z,window,supine,prone,side,sitting,unknown
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0225,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.02,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.02,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.02,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.02,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.02,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.02,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0325,3531,0.0,0.0,0.0,1.0,0.0
0.2425,-0.005,0.0325,3531,0.0,0.0,0.0,1.0,0.0
0.2425,-0.005,0.035,3531,0.0,0.0,0.0,1.0,0.0
0.2425,-0.005,0.035,3531,0.0,0.0,0.0,1.0,0.0
0.2425,-0.005,0.0375,3531,0.0,0.0,0.0,1.0,0.0
0.2425,-0.005,0.0375,3531,0.0,0.0,0.0,1.0,0.0
0.2425,-0.005,0.0375,3531,0.0,0.0,0.0,1.0,0.0
0.2425,-0.005,0.0375,3531,0.0,0.0,0.0,1.0,0.0
0.2425,-0.005,0.0375,3531,0.0,0.0,0.0,1.0,0.0
0.2425,-0.005,0.035,3531,0.0,0.0,0.0,1.0,0.0
0.2425,-0.005,0.035,3531,0.0,0.0,0.0,1.0,0.0
0.2425,-0.005,0.035,3531,0.0,0.0,0.0,1.0,0.0
0.2425,-0.005,0.035,3531,0.0,0.0,0.0,1.0,0.0
0.2425,-0.005,0.035,3531,0.0,0.0,0.0,1.0,0.0
0.2425,-0.005,0.035,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.035,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0325,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0325,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0325,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0325,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0325,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0325,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.03,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0275,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3531,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.02,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.02,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.02,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.02,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.02,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.02,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.02,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3531,0.0,0.0,0.0,1.0,0.0
