sens_x,sens_y,sens_z,label,window,supine,prone,side,sitting,unknown
0.02,-0.06,-1.03,1.0,855,0.0,1.0,0.0,0.0,0.0
0.02,-0.06,-1.03,1.0,855,0.0,1.0,0.0,0.0,0.0
0.02,-0.06,-1.03,1.0,855,0.0,1.0,0.0,0.0,0.0
0.02,-0.06,-1.03,1.0,855,0.0,1.0,0.0,0.0,0.0
0.02,-0.06,-1.03,1.0,855,0.0,1.0,0.0,0.0,0.0
0.03,-0.06,-1.02,1.0,855,0.0,1.0,0.0,0.0,0.0
0.03,-0.06,-1.02,1.0,855,0.0,1.0,0.0,0.0,0.0
0.03,-0.06,-1.02,1.0,855,0.0,1.0,0.0,0.0,0.0
0.03,-0.06,-1.02,1.0,855,0.0,1.0,0.0,0.0,0.0
0.03,-0.05,-1.02,1.0,855,0.0,1.0,0.0,0.0,0.0
0.03,-0.05,-1.02,1.0,855,0.0,1.0,0.0,0.0,0.0
0.03,-0.05,-1.02,1.0,855,0.0,1.0,0.0,0.0,0.0
0.03,-0.05,-1.02,1.0,855,0.0,1.0,0.0,0.0,0.0
0.04,-0.05,-1.02,1.0,855,0.0,1.0,0.0,0.0,0.0
0.04,-0.05,-1.02,1.0,855,0.0,1.0,0.0,0.0,0.0
0.04,-0.05,-1.02,1.0,855,0.0,1.0,0.0,0.0,0.0
0.04,-0.05,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.04,-0.05,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.04,-0.05,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.04,-0.05,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.04,-0.05,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.05,-0.05,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.05,-0.05,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.05,-0.05,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.05,-0.05,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.05,-0.04,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.05,-0.04,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.05,-0.04,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.05,-0.04,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.05,-0.04,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.06,-0.04,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.06,-0.04,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.06,-0.04,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.06,-0.04,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.06,-0.04,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.06,-0.04,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.06,-0.04,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.06,-0.04,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.07,-0.04,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.07,-0.04,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.07,-0.04,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.07,-0.04,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.07,-0.03,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.07,-0.03,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.07,-0.03,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.07,-0.03,-0.98,1.0,855,0.0,1.0,0.0,0.0,0.0
0.08,-0.03,-0.98,1.0,855,0.0,1.0,0.0,0.0,0.0
0.08,-0.03,-0.98,1.0,855,0.0,1.0,0.0,0.0,0.0
0.08,-0.03,-0.98,1.0,855,0.0,1.0,0.0,0.0,0.0
0.08,-0.03,-0.98,1.0,855,0.0,1.0,0.0,0.0,0.0
0.08,-0.03,-0.98,1.0,855,0.0,1.0,0.0,0.0,0.0
0.08,-0.03,-0.98,1.0,855,0.0,1.0,0.0,0.0,0.0
0.08,-0.03,-0.98,1.0,855,0.0,1.0,0.0,0.0,0.0
0.08,-0.03,-0.98,1.0,855,0.0,1.0,0.0,0.0,0.0
0.08,-0.03,-0.98,1.0,855,0.0,1.0,0.0,0.0,0.0
0.08,-0.03,-0.98,1.0,855,0.0,1.0,0.0,0.0,0.0
0.09,-0.03,-0.98,1.0,855,0.0,1.0,0.0,0.0,0.0
0.09,-0.03,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.09,-0.03,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.09,-0.03,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.09,-0.03,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.09,-0.03,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.09,-0.03,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.09,-0.02,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.09,-0.02,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.1,-0.02,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.1,-0.02,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.1,-0.02,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.1,-0.02,-0.99,1.0,855,0.0,1.0,0.0,0.0,0.0
0.1,-0.02,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.1,-0.02,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.1,-0.02,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.1,-0.02,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.1,-0.02,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.1,-0.02,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.11,-0.02,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.11,-0.02,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.11,-0.02,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.11,-0.02,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.11,-0.02,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.11,-0.02,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.11,-0.02,-1.0,1.0,855,0.0,1.0,0.0,0.0,0.0
0.11,-0.02,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.11,-0.02,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.11,-0.02,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.12,-0.02,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.12,-0.02,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.12,-0.02,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.12,-0.01,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.12,-0.01,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.12,-0.01,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.12,-0.01,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.12,-0.01,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.12,-0.01,-1.01,1.0,855,0.0,1.0,0.0,0.0,0.0
0.12,-0.01,-1.02,1.0,855,0.0,1.0,0.0,0.0,0.0
0.12,-0.01,-1.02,1.0,855,0.0,1.0,0.0,0.0,0.0
0.13,-0.01,-1.02,1.0,855,0.0,1.0,0.0,0.0,0.0
0.13,-0.01,-1.02,1.0,855,0.0,1.0,0.0,0.0,0.0
0.13,-0.01,-1.02,1.0,855,0.0,1.0,0.0,0.0,0.0
0.13,-0.01,-1.02,1.0,855,0.0,1.0,0.0,0.0,0.0
0.13,-0.01,-1.02,1.0,855,0.0,1.0,0.0,0.0,0.0
