sens_x,sens_y,sens_z,window,supine,prone,side,sitting,unknown
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.025,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.0225,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.02,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.02,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.02,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.02,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.02,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.02,3867,0.0,0.0,0.0,1.0,0.0
0.245,-0.005,0.02,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.02,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.02,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.02,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.02,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.02,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.02,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.0175,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
0.2475,-0.005,0.015,3867,0.0,0.0,0.0,1.0,0.0
