sens_x,sens_y,sens_z,label,window,supine,prone,side,sitting,unknown
0.05,-0.1,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.1,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.1,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.1,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.09,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.09,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.09,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.09,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.09,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.09,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.04,-0.09,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.04,-0.09,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.04,-0.09,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.04,-0.09,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.04,-0.09,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.04,-0.09,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.04,-0.09,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.04,-0.09,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.04,-0.09,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.04,-0.09,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.04,-0.09,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.04,-0.08,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.04,-0.08,-1.0,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.08,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.08,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.08,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.08,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.08,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.08,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.07,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.07,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.07,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.07,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.07,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.05,-0.07,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.07,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.07,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.06,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.06,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.06,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.06,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.06,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.06,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.06,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.07,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.07,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.07,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.07,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.07,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.1,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.1,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.1,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.1,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.1,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.11,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.11,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.11,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.11,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.11,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.11,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.11,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.1,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.1,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.1,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.1,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.1,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.1,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.1,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.07,-0.1,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.08,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.02,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
0.06,-0.09,-1.01,1.0,738,0.0,1.0,0.0,0.0,0.0
